SORTED_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 11.652791850220265
1, 40.0, 11.675941558441558
2, 60.0, 11.709443565400845
3, 80.0, 11.765941326530612
4, 100.0, 11.787289215686274
