HANDLE_CLIENT_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 278.92988436123346
1, 40.0, 276.75163149350647
2, 60.0, 273.7820332278481
3, 80.0, 270.37191326530615
4, 100.0, 265.9946176470588
