CLIENT_FULL_LOOP_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 491.38724330357144
1, 40.0, 219.98057112068966
2, 60.0, 132.69910069444444
3, 80.0, 91.10154233870968
4, 100.0, 68.186173828125
