HANDLE_CLIENT_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 269.3371434859155
1, 40.0, 274.463022260274
2, 60.0, 282.15901726973686
3, 80.0, 291.43316015625
4, 100.0, 303.8157647058824
