CLIENT_FULL_LOOP_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 487.81700520833334
1, 40.0, 210.0266466346154
2, 60.0, 125.00241071428573
3, 80.0, 88.57408333333333
4, 100.0, 68.09498046875
