HANDLE_CLIENT_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 168.89593201754386
1, 40.0, 166.05423155737705
2, 60.0, 162.95389925373135
3, 80.0, 163.08129166666666
4, 100.0, 158.44667647058824
