SORTED_TIME, Total number of requests sent by each client, Time in ms
0, 20.0, 9.40751096491228
1, 40.0, 9.6484631147541
2, 60.0, 9.951044776119403
3, 80.0, 10.4162
4, 100.0, 10.714227941176471
