HANDLE_CLIENT_TIME, Time interval from receiving a response , Time in ms
0, 30.0, 545.5323076923077
1, 90.0, 433.22878526194586
2, 150.0, 378.7957834757835
3, 210.0, 322.36786445303613
4, 270.0, 267.48770400178853
