SORTED_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 0.0238
1, 600.0, 1.71955
2, 1100.0, 5.137033333333333
3, 1600.0, 10.19875
4, 2100.0, 16.99016
5, 2600.0, 25.54155
6, 3100.0, 36.39344285714286
