HANDLE_CLIENT_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 1.7163
1, 600.0, 19.28975
2, 1100.0, 126.01616666666666
3, 1600.0, 314.325325
4, 2100.0, 579.58646
5, 2600.0, 926.3895
6, 3100.0, 1365.9513
