CLIENT_FULL_LOOP_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 203.42705921052632
1, 400.0, 198.38250000000002
2, 700.0, 193.91210625
3, 1000.0, 191.2592774390244
4, 1300.0, 191.28341666666668
5, 1600.0, 194.52208720930233
