CLIENT_FULL_LOOP_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 543.84
1, 1250.0, 1197.88
2, 1875.0, 1937.16
3, 2500.0, 2705.56
4, 3125.0, 3527.48
5, 3750.0, 4085.0
6, 4375.0, 4615.8
7, 5000.0, 5300.04
