SORTED_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 12.841369547907636
1, 1250.0, 12.981216931216931
2, 1875.0, 13.792502873309168
3, 2500.0, 14.618310174809503
4, 3125.0, 14.495832155976265
5, 3750.0, 13.938048823322795
6, 4375.0, 14.000618708188862
7, 5000.0, 13.883497002215998
