HANDLE_CLIENT_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 556.9374770136079
1, 1250.0, 1232.8508320308908
2, 1875.0, 2006.8206981393203
3, 2500.0, 2838.649222263868
4, 3125.0, 3580.2720949112513
5, 3750.0, 4232.800055047555
6, 4375.0, 4843.996480487607
7, 5000.0, 5511.991701782057
