SORTED_TIME, Time interval from receiving a response , Time in ms
0, 30.0, 13.58168155086038
1, 90.0, 13.078973455226347
2, 150.0, 13.012632978723405
3, 210.0, 13.003846999340514
4, 270.0, 13.274669603524229
