SORTED_TIME, Time interval from receiving a response , Time in ms
0, 30.0, 15.959796272214998
1, 90.0, 15.833369707551288
2, 150.0, 15.092027234790248
3, 210.0, 14.015542907180386
4, 270.0, 14.387509570162965
