HANDLE_CLIENT_TIME, Time interval from receiving a response , Time in ms
0, 30.0, 1277.2757404795486
1, 90.0, 1214.359640831758
2, 150.0, 1091.6108210726152
3, 210.0, 954.6068819231675
4, 270.0, 930.8133364639586
