CLIENT_FULL_LOOP_TIME, Number of simultaneously working clients, Time in ms
0, 100.0, 184.96413076923076
1, 200.0, 185.74912313432836
2, 300.0, 192.87867500000002
3, 400.0, 208.73331418918917
