SORTED_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 13.026665485471296
1, 1250.0, 13.481054730777753
2, 1875.0, 13.351821992905514
3, 2500.0, 13.464516272156532
4, 3125.0, 13.551020408163266
5, 3750.0, 14.134126442578692
6, 4375.0, 14.69328884411987
7, 5000.0, 14.74736830428947
