CLIENT_FULL_LOOP_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 658.94928
1, 1250.0, 1083.8184266666667
2, 1875.0, 1554.6855733333332
3, 2500.0, 2066.5129039999997
4, 3125.0, 2503.110576
5, 3750.0, 2946.2127466666666
6, 4375.0, 3393.094708571429
7, 5000.0, 3762.098544444444
