CLIENT_FULL_LOOP_TIME, Number of simultaneously working clients, Time in ms
0, 100.0, 180.05885606060608
1, 200.0, 176.47030714285714
2, 300.0, 183.7687039473684
3, 400.0, 205.59757142857143
