HANDLE_CLIENT_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 1503.5447363411383
1, 1250.0, 3048.569952872852
2, 1875.0, 4597.571451654602
3, 2500.0, 6613.542867522403
4, 3125.0, 7830.048682128661
5, 3750.0, 9651.700212170894
6, 4375.0, 10550.216290712719
7, 5000.0, 12319.978505355404
