SORTED_TIME, Number of simultaneously working clients, Time in ms
0, 625.0, 12.55984
1, 1250.0, 12.214373333333333
2, 1875.0, 12.218213333333333
3, 2500.0, 12.313656
4, 3125.0, 12.456538666666667
5, 3750.0, 12.502598095238096
6, 4375.0, 12.595982857142857
7, 5000.0, 12.69086
