CLIENT_FULL_LOOP_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 7.136799999999999
1, 600.0, 23.483249999999998
2, 1100.0, 127.25043333333332
3, 1600.0, 315.295
4, 2100.0, 567.6481
5, 2600.0, 924.5088000000001
6, 3100.0, 1364.6812142857143
