HANDLE_CLIENT_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 0.8527
1, 600.0, 16.72875
2, 1100.0, 119.94016666666667
3, 1600.0, 307.541825
4, 2100.0, 559.70906
5, 2600.0, 916.9834166666667
6, 3100.0, 1356.5183714285715
