CLIENT_FULL_LOOP_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 279.63170833333334
1, 400.0, 234.63332142857143
2, 700.0, 201.25187499999998
3, 1000.0, 181.66019444444444
4, 1300.0, 176.16716250000002
5, 1600.0, 184.0904318181818
