CLIENT_FULL_LOOP_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 7.5684000000000005
1, 600.0, 26.23985
2, 1100.0, 135.51596666666666
3, 1600.0, 321.020775
4, 2100.0, 587.73452
5, 2600.0, 936.5160833333334
6, 3100.0, 1359.173242857143
