CLIENT_FULL_LOOP_TIME, Number of elements in sorted arrays, Time in ms
0, 100.0, 192.3162159090909
1, 400.0, 180.21821195652174
2, 700.0, 169.67301041666667
3, 1000.0, 162.81446
4, 1300.0, 164.59558173076923
5, 1600.0, 171.30549537037038
